first_to_last_event_hours,event_Account History Transaction Details,event_Account Setup Profile Skip,event_Account Setup Skip,event_Add Payment Method Failed,event_Calculator Used,event_Calculator View,event_Chat Conversation Started,event_Email Confirmation Success,event_NonPremium_order,event_Premium_order,event_Subscription Premium,event_Subscription Premium Cancel,event_Subscription Premium Renew,event_Transaction Refund,event_Wallet Opened,event_add_vehicle_permanently,event_add_vehicle_temporary,event_chat_opened_from_,event_chat_opened_from_Dashboard,event_chat_opened_from_Deeplink,event_chat_opened_from_Menu,event_chat_opened_from_Transaction Details,event_payment_method_added_Credit,event_payment_method_added_Debit,event_payment_method_added_PayPal,event_payment_method_added_Venmo,event_sign_out_Auto,event_sign_out_Manual,Apple,Google,Other,samsung,signed_up_before2022,sign_up_Apple,sign_up_Email,sign_up_Facebook,sign_up_Google,no_card_added,didnt_try_adding_vehicle,gave_up_adding_vehicle,subscribed_for_1_month_only
726,2,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1393,0,0,0,1,0,0,0,1,0,0,1,0,2,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
661,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
721,0,0,1,0,0,0,1,1,0,0,1,0,1,0.0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
713,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,2,0,0,0,0,2,1,1,0,0,1,1,0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1395,1,0,0,0,0,0,0,1,0,2,1,0,2,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
994,0,0,0,0,0,0,0,1,0,6,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
